acc,prec,rec,f1,roc_auc,pr_auc,balanced_acc,specificity,mcc,thr,model,split,tp,tn,fp,fn,support
0.9818417639429312,0.9855072463768116,0.9936305732484076,0.9895522388059701,0.9940947096742156,0.999114604769748,0.9498273348169749,0.9060240963855422,0.9207061618159379,0.4,SVM_kmer,train,,,,,
0.9455252918287937,0.9490463215258855,0.9894886363636364,0.96884561891516,0.9106913198710074,0.9699347084041489,0.836805128992629,0.6841216216216216,0.763478322197917,0.4,SVM_kmer,val,,,,,
0.916828793774319,0.9229555613988956,0.9862320876650744,0.9535452322738386,0.8015056955166002,0.9387343755363308,0.7281974181544179,0.4701627486437613,0.5906427525758472,0.4,SVM_kmer,test,,,,,
0.9948119325551232,1.0,0.994005245410266,0.9969936114242766,0.9980597455389184,0.999725561497554,0.997002622705133,1.0,0.9783173404711262,0.30000000000000004,SVM_onehot,train,,,,,
0.9615758754863813,0.9602957283680176,0.9963068181818182,0.9779698828778584,0.954177863943489,0.9831338417341267,0.8756871928746929,0.7550675675675675,0.8368435454312648,0.30000000000000004,SVM_onehot,val,,,,,
0.9175583657587548,0.9173146708138932,0.9943804439449283,0.9542941890252123,0.8421392521925668,0.9560378767821138,0.7087634588621567,0.4231464737793852,0.5917156680656134,0.30000000000000004,SVM_onehot,test,,,,,
0.8566666666666667,0.8610169491525423,0.9921875,0.9219600725952813,0.968572443181818,0.9947352756923562,0.5301846590909091,0.06818181818181818,0.16682709279550767,0.5,QSVM_kernel,train,,,,,
0.8570038910505836,0.8573866406630912,0.9991477272727273,0.9228548937286801,0.6509799216830467,0.9024239133128469,0.5054860257985258,0.011824324324324325,0.07820278115810649,0.5,QSVM_kernel,val,,,,,
0.8655155642023347,0.8662280701754386,0.9988760887889857,0.9278350515463918,0.6499019118176824,0.9072191563789374,0.5030546809225218,0.007233273056057866,0.04730137205741236,0.5,QSVM_kernel,test,,,,,
0.8654345006485085,0.8654345006485085,1.0,0.9278637232748131,0.5622995729640179,0.8870431436528867,0.5,0.0,0.0,0.05,VQC,train,10676.0,0.0,1660.0,0.0,12336.0
0.8560311284046692,0.8560311284046692,1.0,0.9224318658280922,0.5663241899570024,0.8816380964815037,0.5,0.0,0.0,0.05,VQC,val,3520.0,0.0,592.0,0.0,4112.0
0.8655155642023347,0.8655155642023347,1.0,0.9279103115630296,0.5403350495166217,0.8804992633484134,0.5,0.0,0.0,0.05,VQC,test,3559.0,0.0,553.0,0.0,4112.0
