epoch,loss_tr,loss_va
1,0.6534843611716613,0.6475249981812607
2,0.6471638061322321,0.637541772377138
3,0.6284117872101632,0.6156667759071586
4,0.5795399586570796,0.5642590138574676
5,0.5470722585006672,0.540648470765278
6,0.5470990477993626,0.541826456066888
7,0.5460737556784206,0.5397665633833424
8,0.5453770355820393,0.5399435510178351
9,0.5452019591536573,0.5406755451250498
10,0.5449075433572785,0.539973628510408
11,0.5447263486093674,0.5402672852448976
12,0.544762060128073,0.5407326490054565
13,0.5447728215555533,0.5405704416093203
